(EE) Position
FIELD CONDUCTOR
CLERK
ACCOUNT EXECUTIVE
AUXILIARY POLICE
CORPORAL
PELATIH POLIS BANTUAN
SENIOR ASSISTANT MANAGER
ASSISTANT HUMAN RESOURCE & ADMINISTRATION
SENIOR MANAGER
SECURITY OFFICER
PENYELIA LADANG
PROJECT MANAGER (ENGINEER)
PURCHASING ASSISTANT (MACHINERIES)
ASST. MANAGER
ASSISTANT MANAGER
ACTING SENIOR ESTATE MANAGER
EXECUTIVE
DRIVER
PURCHASING ASSISTANT
MECHANIC
MANAGER
ADMIN. EXECUTIVE
MANAGER PROCUREMENT
ASST GENERAL MANAGER
ELECTRICIAN
CLEANER CUM TEA LADY
ESTATE MANAGER
PLANTATION CONTROLLER
MANAGING DIRECTOR
OFFICE ASSISTANT CUM CLERK
SENIOR EXECUTIVE
APPRENTICE
OFFICE ASSISTANT
HEAD OF INFORMATION & COMMUNICATION TECHNOLOGY DEP
PEGAWAI AGAMA KEPADA PENGERUSI EKSEKUTIF & PNHB
GENERAL WORKER
GENERAL WORKER (SUPERVISOR)
HEAD OF FACILITY MANAGEMENT SERVICES (FMS)
SENIOR ADMIN. ASSISTANT
TECHNICIAN
SENIOR ADMINISTRATION ASSISTANT CUM DESPATCH
MANAGER (SPECIAL TASK)
"MANAGER, ICT (SPECIAL FUNCTIONS)"
SENIOR TECHNICIAN
"SENIOR EXECUTIVE, BIOMEDICAL ENGINEERING MAINTENAN"
DOCUMENT CONTROLLER
SUPERVISOR
ENGINEER
HELPDESK
CHARGEMAN A4
SR. TECHNICIAN
"SENIOR EXECUTIVE - LANSCAPE, GRASS CUTTING & PEST"
TECHNICAL EXECUTIVE
SAFETY & HEALTH OFFICER
CHARGEMAN (LV)
MANAGER (BIOMEDICAL ENGINEERING SERVICES)
SENIOR EXECUTIVE ICT
EXECUTIVE CIVIL
TEA LADY CUM CLEANER
TECHNICIAN ICT
BEMS ENGINEER
BEMS SPECIALIST
"PORTER, LLS"
ELECTRICAL ENGINEER
CHARGEMAN A1
CIVIL TECHNICIAN
STORE KEEPER CUM TECHNICIAN
MECHANICAL TECHNICIAN
ICT TECHNICIAN
"MANAGER, PLANNING & REPORTING"
ELECTRICAL TECHNICIAN
PROCUREMENT EXECUTIVE
ASSISTANT ENGINEER
APPRENTICE - ASSET MANAGEMENT
SARJAN MEJAR
SENIOR CLERK CUM OFFICE ASST.
SARJAN
SENIOR DRIVER
ASST. SECRETARY (PERSONAL)
SENIOR CLERK
CHARGEMAN AO
PROCUREMENT ASSISTANT
ADMIN ASSISTANT
ASSISTANT GENERAL MANAGER
BEMS TECHNICIAN
"ASSISTANT MANAGER, ICT"
CHARGEMAN BO
TECHNICAL ASSISTANT
EXECUTIVE - PROCUREMENT
MANAGER (FACILITY ENGINEERING MAINTENANCE SERVICE)
CLERK-OF-WORK
"SUPERVISOR, LLS"
SR SECURITY GUARD
MECHANICAL ENGINEER
EXECUTIVE SECRETARY
DRAFTER
CIVIL ENGINEER
MANAGER (HOSPITAL SUPPORT SERVICES-HSS)
PERSONAL ASSISTANT
KOPERAL (POLIS BANTUAN)
INSPECTOR
AUXILIARY POLICE (SARJAN) CUM DRIVER
ANALYST PROGRAMMER
EXECUTIVE DIRECTOR
FRONT OFFICE CUM ADMIN EXECUTIVE
KITCHEN HELPER
SPECIAL ASSISTANT TO EXECUTIVE CHAIRMAN
ADMIN ASSISTANT CUM CASHIER
BODYGUARD
ASSISTANT SECRETARY (PERSONAL)
HEAD OF COOK
GENERAL MANAGER
PROGRAMMER
ADMIN. ASSISTANT
EXECUTIVE CHAIRMAN
SR. OFFICE ASSISTANT
AUDITOR
"SENIOR EXECUTIVE, CONTRACT & PROCUMENT"
PERSONAL ASSISTANT (PERSONAL)
